070,a,9,"whichever, whichsoever (of two)",
209574,L8778833,n,9,a mountain in Cisalpine Gaul,2775
209575,L7204424,n,9,the name of a patrician and plebeian gens,
209576,L6383448,n,9,a district of Persia,2775
209577,L3626659,n,9,"a seaport town in Northern Africa, between Egypt and the Syrtes, now Marsa Labeit",2775
209578,L9732513,n,9,the books of the Chronicles in the Bible,
209579,L2613637,n,9,an Athenian hero whose portrait was painted by Protogenes,
209580,L6565252,n,9,a district near the Tigris,2775
209582,L6258941,n,9,"a city of Mysia, on the Propontis, now Kamares",2775
209583,L9047542,n,9,"the city of Parma, in Gallia Cispadana, between Cremona and Placentia, famed for its breed of sheep",2775
209584,L4567467,n,9,"a celebrated Grecian philosopher, a native of Elea, who, with Zeno, was at the head of the Eleatic school",1545
209586,L1227633,n,9,"a high mountain beyond the Caspian Sea, now Hindu-Kuh",2775
209587,L9201767,n,9,a region in Thrace,2775
209588,L8376478,n,9,"one of the Cyclades, famous for its white marble and as the birthplace of the poet Archilochus, now Paro",2775
209589,L7585564,n,9,a town of Arcadia,2775
209590,L7167788,n,9,"a celebrated Greek painter, a native of Ephesus",
209591,L9548057,n,9,"a tract of country on the Strymon, in Thrace",
209592,L1489365,n,9,"son of Agenor and Epicaste, king of Calydon, and father of Oeneus",
209593,L4492818,n,9,"a people of Illyria, near Dyrrhachium",1696
209594,L1059359,n,9,"another name for the isle of Samos, because Juno dwelt there when a virgin",
209595,L7474433,n,9,"an epithet of Virgil, on account of the purity of his morals",
209596,L9197783,n,9,"a mountain in Arcadia, now Partheni",2775
209597,L8155929,n,9,"the celebrated temple of Athene on the Acropolis of Athens, the Parthenon",1666
209598,L1609742,n,9,"one of the Sirens, who, on the departure of Ulysses, threw herself, for grief, into the sea, and was cast up on the shore where Naples afterwards stood",
209599,L2094263,n,9,"a city in Lower Moesia, on the Euxine Sea",2775
209600,L2666847,n,9,"the Parthians, a Scythian people, situated to the north-east of the passes of the Caspian and south of Hyrcania, famed in antiquity as roving warriors and skilful archers",
209601,L1739229,n,9,"a city in Illyria, near Dyrrachium",2775
209602,L4488787,n,9,Pasiphoean,
209603,L3606973,n,9,"a famous Greek carver in relief, who came to Rome",
209604,L4182120,n,9,one of the three Graces,
209605,L3761859,n,9,the name of a very fleet horse,
209606,L4372651,n,9,"an island at the mouth of the Indus, with a city of the same name",2775
209607,L6673500,n,9,"a seaport town of Lycia, with a celebrated oracle of Apollo",2775
209609,L1084040,n,9,a city in Media,2775
209610,L1735023,n,9,"an island of the Aegean Sea, one of the Sporades, a place of banishment of the Romans, now Patino",2775
209612,L8078590,n,9,a freedman of the emperor Nero,2798
209613,L9961917,n,9,"son of Menoetius and Sthenele, the friend of Achilles, slain in single combat by Hector",
209614,L1864499,n,9,"an epithet of Janus, because in time of war his temple stood open",1666
209615,L9296577,n,9,a Roman cognomen of the Aemilian family,2792
209616,L4772820,n,9,"son of Cleombrotus, the leader of the Spartans in the battle of Platoea",
209617,L6005688,n,9,"a celebrated painter, a native of Sicyon, contemporary with Apelles",
209618,L1852329,n,9,"a mountain between Naples and Puteoli, which projects into the sea, now Hill of Posilipo",2775
209619,L9650847,n,9,a general of Rhodes,2798
209620,L4234360,n,9,a slave's name,
209621,L8679720,n,9,a city in Caria,2775
209622,L4351392,n,9,"a town of remote antiquity in Latium, near Rome",2775
209792,L5067554,n,9,"king of Emathia, who gave to his daughters the names of the nine Muses",
209666,L3776208,a,9,"of or belonging to the Peripatetic philosophy, Peripatetic",1545
209624,L6792378,n,9,a famous heretic of the fifth century A,
209625,L6755623,n,9,"a people of Macedonia, the later Poeonians",1696
209626,L4230819,n,9,"the oldest inhabitants of Greece, who were spread likewise over a part of Asia Minor, and over Crete, Latium, and Etruria",1696
209627,L4959854,a,9,"of or belonging to a region of Thessaly inhabited by the Lapithoe and Centaurs, Pelethronian",2775
209629,L2196436,n,9,"a king of Thessaly, son of Neptune and the nymph Tyro, brother of Neleus, half-brother of Aeson, and father of Acastus",
209630,L9629338,n,9,"a people of Central Italy, contiguous to the Frentani and Marrucini, descendants of the Sabines, in the modern Abruzzo citeriore",1696
209631,L4850000,n,9,a mountain in Chios,2775
209632,L8733318,n,9,"a high mountain in Thessaly, a continuation of Ossa, now Zagora",2775
209633,L5925200,n,9,"a city of remote antiquity in Macedonia, the birthplace of Alexander the Great, now Alaklisi, or Apostolus",2775
209634,L4313848,n,9,a Celtiberian people,
209635,L4860581,n,9,"a city of Achaia, on the Gulf of Corinth, between Sicyon and Aegira",2775
209636,L6162427,n,9,"the Peloponnesus, the southern part of Greece, so named from Pelops, who settled there, the modern Morea",
209637,L4970338,n,9,"son of Tantalus, king of Phrygia, father of Atreus and Thyestes, grandfather of Agamemnon and Menelaus",
209638,L3969536,n,9,"a promontory at the north-eastern extremity of Sicily, the modern Capo di Faro",
209639,L9206396,n,9,"a promontory on the north-eastern extremity of Sicily, the modern Capo di Faro",
209640,L7785533,n,9,"a promontory on the north-eastern coast of Sicily, the modern Capo di Faro",
209641,L9311594,n,9,"an Egyptian city at the eastern mouth of the Nile, the modern Castle of Tineh",2775
209642,L2075214,n,9,"daughter of Icarius and Periboea, wife of Ulysses, and mother of Telemachus, celebrated for her chastity and constancy",
209643,L7140131,n,9,a people in Grecian Illyria,
209644,L1327725,n,9,"a principal river in Thessaly, which rises in Mount Pindus, flows through the Vale of Tempe, and falls into the Gulf of Therma, the modern Selembria",2775
209645,L3164833,n,9,a river in Colchis,2775
209646,L1243201,a,9,"from the Celtic Pen or Penn, summit, peak, of or belonging to the Pennine Alps, Pennine",
209647,L1987049,n,9,a district of five towns on the Dead Sea,2775
209648,L1960090,a,9,"of or belonging to a mountain near Athens, celebrated for its while marble, Pentelie",2775
209649,L8976061,n,9,"son of Echion and Agave, grandson of Cadmus, and king of Thebes",
209650,L7837862,n,9,a Samnite people,
209652,L8251191,n,9,"a sort of heretics, so named after the Phrygian town of Pepuza",2775
209653,L6231148,n,9,"a city in Aeolis, a colony of the Mityleneans",2775
209654,L9943672,n,9,"a Trojan town on the coast of Mysia, now Bourgas",2775
209655,L7620598,a,9,"or the citadel of Troy, poet",
209656,L5595711,n,9,"a city in Mysia, on the Caystrus, the residence of the Attalian kings, with a celebrated library, now Bergamo",2775
209657,L4612216,n,9,"a lake in Sicily, near the city of Enna, where Pluto is said to have carried off Proserpine, the modern Lago Pergusa",2775
209658,L4280844,n,9,"the Very Unreasonable, the title of a work by Orbilius",
209659,L5490741,n,9,"son of Cypselus, a king of Corinth, and one of the seven wise men of Greece",
209660,L9071424,n,9,the name of a shameless person,
209661,L9545887,n,9,a famous Athenian orator and statesman,
209662,L2512044,n,9,"son of Neleus and brother of Nestor, one of the Argonauts, who had received from Neptune the power of changing his shape at pleasure",
209663,L6856403,n,9,"a famous Athenian worker in metal, who made a brazen bull for the tyrant Phalaris, in which criminals were to be enclosed and roasted to death, and was the first that suffered in this manner",
209664,L8585804,n,9,"a nymph, daughter of Hippodamas, who was changed into the island of the same name",2775
209665,L5953639,n,9,a promontory in India,
209667,L6448284,n,9,a king of Attica,
209668,L3746114,n,9,an epithet of Artemon,
209669,L8683881,n,9,"a river in Boeotia sacred to Apollo and the Muses, which rises in Mount Helicon and flows into the Copaic lake",2775
209670,L6929860,n,9,"a people of Thessaly about Tempe and Mount Olympus, the Perrhoebians",1696
209671,L8260130,n,9,the name of a little dog,
209672,L8909320,n,9,"the Persians, originally the inhabitants of the country of Persis, afterwards of the great kingdom of Persia",1696
209673,L8985565,n,9,Proserpine,
209674,L5517110,n,9,"a city of Persia, the ruins of which are now called Istakhr",2775
209675,L7341004,n,9,a Persian,
209677,L4126610,n,9,"one of the twelve confederate towns of Etruria, the modern Perugia",2775
209678,L3557112,a,9,Pessinuntic,
209679,L1462058,n,9,"a very ancient town in the Bruttian territory, north of Croton, colonized by Lucanians, near the modern Strongoli",2775
209680,L7825600,a,9,"of or belonging to a Petilius, Petilian",
209681,L7196774,n,9,"Aelia, a wife of the emperor Claudius, whom he divorced before marrying Messalina",2798
209682,L6694543,n,9,Petisian,
209683,L7456423,n,9,a celebrated Egyptian mathematician and astrologer,
209684,L9342805,a,9,1,
209685,L1641382,n,9,"the inhabitants of the city of Petra, in Sicily, the Petreans",2775
209687,L5102139,n,9,a region in Apulia,2775
209688,L1766201,n,9,"a fortified place near Pella in Macedonia, where the treasury of the Macedonian kings was kept",2775
209689,L8905310,n,9,"the Phoeacians, the fabled luxurious inhabitants of the isle of Scheria",1696
209690,L8430573,n,9,"a disciple of Socrates and friend of Plato, after whom Plato has named his dialogue on the immortality of the soul",
209691,L2251883,n,9,"a pupil of Socrates, a native of Myrsinus, in Attica, after whom Plato named one of his dialogues",
209692,L6841545,n,9,the planet Saturn,
209693,L4754980,n,9,"a town of Crete, near Cortyna, founded by Minos",2775
209694,L3766959,n,9,the son of Helios who tragically begged his father let him drive the chariot of the sun,
209695,L5972947,n,9,a sister of Phaëthon,
209696,L3776890,n,9,"a town in the Sabine territory, the birthplace of the emperor Vespasian",2775
209698,L4912683,a,9,"of or belonging to Phalanna, a city of Thessaly, Phalannoean",2775
209699,L7875835,n,9,a Spartan who emigrated to Italy and there founded Tarentum,
209700,L9835948,n,9,"a harbor of Phthiotis, in Thessaly, on the Sinus Maliacus, now Stillida",
209701,L1955651,n,9,"a tyrant of Agrigentum, for whom Perillus made a brazen bull, in which those condemned by him were to be roasted alive",
209702,L2082103,a,9,"of or belonging to the Cretan city of Phalasarne, Phalasarnean",2775
209703,L7142918,n,9,"the oldest harbor of Athens, connected with the city by a long wall, with a demos of the same name belonging to it",2775
209704,L1409150,n,9,"a harbor and promontory in the isle of Chios, noted for its wine",
209705,L4979111,n,9,a youth of Lesbos beloved by Sappho without return,
209706,L4121172,n,9,"a Pharisee, a member of the Jewish sect of that name, usually in plur.",
209707,L2003125,n,9,"an island of the Aegean Sea, south-west from Miletus, where Coesar was taken by pirates, now Farmako",2775
209708,L4380051,n,9,the name of two kings of Pontus,
209709,L3338580,n,9,"a city in Thessaly, where Coesar defeated Pompey, now Fersala",2775
209710,L4673228,a,9,"of or belonging to Pharus, Pharian, Egyptian",
209711,L1154875,n,9,"a town in Lycia, on the borders of Pamphylia, now Tekrova",2775
209712,L9119777,n,9,"a river in Colchis, which empties into the Euxine Sea, now Rion",2775
209713,L6923653,n,9,"the Cribs, the space between two stars in the constellation Cancer",
209714,L7755855,n,9,the father of Alphesiboea,
209715,L8771723,n,9,a celebrated player on the cithara in Ithaca,
209716,L1639116,n,9,"a daughter of Apollo, priestess at Delphi",
209718,L9195498,a,9,"of or belonging to Phercelus, Phereclean",
209719,L3344607,n,9,"a celebrated philosopher from Syros, an instructor of Pythagoras",1545
209720,L5570021,n,9,"son of Pheres, king of Pheroe",
209721,L7690370,n,9,son of Jason and Medea,
209722,L7851305,n,9,a castle in Thessaly,
209723,L8524852,n,9,"a famous sculptor, contemporary with Pericles, who made the celebrated statue of Jupiter Olympius",
209724,L4361951,n,9,a famous courier at Athens,
209725,L2372672,n,9,"Grandson of Hercules, one of Helen's suitors",
209726,L8272307,n,9,"a descendant of Hercules, to whom is attributed the invention of weights and measures",
209727,L9644435,n,9,"an important city of Lydia, now the town and ruins of Allasher",2775
209728,L8291578,n,9,a Greek name,
209730,L1480590,n,9,"son of Apollo, a celebrated singer",
209731,L9093594,n,9,"a Greek comic poet, a native of Soli, in Cilicia, and a contemporary of Menander",2748
209732,L9717212,n,9,"a city in Macedonia, on the borders of Thrace, celebrated for the battle in which Octavianus and Antony defeated Brutus and Cassius, now Filibi",2775
209733,L1464099,n,9,"a city of Thrace on the Hebrus, now Philippopoli",2775
209756,L7980300,n,9,"a country of Macedonia, afterwards called Pallene, where the giants are fabled to have been struck with lightning when fighting with the gods",1666
209772,L8825331,n,9,"son of Neptune, father of Medusa and the other Gorgons, and of the Groeoe, who was changed after death into a sea-god",1666
209735,L8542453,n,9,"the southwestern portion of Canaan, Philistia",
209736,L9654907,n,9,a Philistine,
209737,L9485247,n,9,"the Philistines, the original inhabitants of Palestine",1696
209738,L8903299,n,9,a celebrated physician,
209739,L8512718,n,9,"a historian in Syracuse in the reign of the tyrant Dionysius, an imitator of Thucydides",
209740,L9222638,n,9,an Academic philosopher of Athens,1545
209741,L8517827,n,9,the name of a girl,
209743,L5734729,n,9,a famous Epicurean philosopher in the time of Cicero,1545
209744,L2250316,n,9,"a Pythagorean philosopher of Croton, a disciple of Archytas",1545
209745,L7761100,a,9,"daughter of Pandion, king of Athens, and sister of Progne",
209746,L5268003,n,9,"a city in Phrygia Major, now Ak Shehr",2775
209747,L7745041,n,9,a common royal epithet among Hellenistic monarchs,
209748,L2634875,n,9,a celebrated general of the Achoean league,2798
209749,L5672028,n,9,"friend or lover of the Romans, a title given to Ariobarzanes, king of Cappadocia",
209750,L2925347,n,9,"a nymph, daughter of Oceanus, who bore to Saturn the Centaur Chiron, and was changed into a linden-tree",
209751,L4847486,n,9,"king of Salmydessus, in Thrace",
209752,L3441100,n,9,"a city in Sicily, now Alicata or Licata",2775
209753,L2659493,n,9,"a Pythagorean, celebrated for his friendship with Damon",
209754,L2909488,n,9,"a river in the Lower World, which ran with fire instead of water",2775
209755,L5677091,n,9,one of the four horses of the sun,
209757,L8039952,n,9,one of the Centaurs,
209758,L2380992,n,9,"a predatory people from Thrace or Thessaly, who destroyed the temple at Delphi",1696
209759,L1785413,n,9,"a city of Peloponnesus, between Sicyon and Argolis, at the sources of the Aesopus, now Polyfengo",2775
209760,L1843931,n,9,son of Morpheus,
209762,L8351660,n,9,"the country between Boeotia and Aetolia, in which were the mountains of Parnassus and Helicon, the Castalian spring, and the river Cephisus",2775
209763,L6213265,n,9,"son of Aeacus, who was slain by his brother Peleus",
209764,L6524263,n,9,"the moon goddess, sister of Phoebus",1666
209765,L3158860,n,9,"a temple of Phoebus, from which a place near Sparta received its name",2775
209766,L9992911,n,9,a poetical appellation of Apollo as the god of light,1666
209767,L5081841,a,9,"Phoenicia, a country of Syria, especially celebrated for the purple which came from there",
209768,L1482383,n,9,"the son of Amyntor, who was given by Peleus to Achilles as a companion in the Trojan war",
209769,L5322848,n,9,"a forestclad mountain in Arcadia, on the borders of Elis",2775
209770,L3739840,n,9,"son of Phonolenus, a Lapitha",
209771,L5144872,n,9,the name of several mythic personages,1566
209773,L1148770,n,9,"son of Inachus, king of Argos, and brother of Io",
209774,L8776390,n,9,a celebrated statuary of Argos,
209775,L1721866,n,9,a city in Thrace,2775
209776,L5315644,n,9,"son of Athamas and Nephele, and brother of Helle, with whom he fled to Colchis on a ram with a golden fleece",
209777,L6799592,n,9,"the Phrygians, a people of Asia Minor, noted among the ancients for their indolence and stupidity, and also for their skill in embroidering in gold",1696
209778,L4822584,n,9,"a river in Ionia, rising in Lydia, and falling into the Hermus, otherwise called Hyllus",2775
209779,L4947231,n,9,the Egyplian Vulcan,
209780,L1501279,n,9,"a city in Thessaliotis, the birthplace of Achilles",2775
209781,L8539203,n,9,a king of the Getoe,
209782,L7344174,n,9,"a city of Thessaly, where Protesilaus reigned",2775
209783,L2914339,n,9,"f., of or from the city of Phyllus, in Thessaly",2775
209784,L6308765,a,9,"of or belonging to Phyllus in Thessaly, Phylleian",
209785,L7605129,n,9,daughter of king Sithon of Thrace,
209786,L2911270,n,9,a Boeotian who was in love with Cygnus,
209787,L9253458,n,9,"a city in Campania, south-east of Salernum, the modern Vicenza",2775
209788,L8211706,a,9,"of or belonging to Picenum, Picene",
209789,L5829522,n,9,a later appellation of the Pictones,
209791,L7146373,n,9,"a country of Macedonia, south of the Haliacmon",
209855,L6747900,n,9,"a soothsayer, native of Corinth",
209797,L3115438,n,9,"Pindar, a celebrated lyric poet of Thebes, contemporary with Aeschylus",
209798,L4003391,n,9,"a fortified town in Cilicia, taken by Cicero",2775
209799,L7688675,n,9,"a lofty mountain in Thessaly, on the borders of Macedonia and Epirus, the seat of the Muses, now Mezzara",2775
209800,L4014289,n,9,"the celebrated port of Athens, about five Roman miles from the city, with which it was connected by long walls",2775
209801,L3559226,n,9,"a fountain in the citadel of Corinth, which sprung up from a blow of the hoof of Pegasus",
209802,L7305476,n,9,"son of Ixion, king of the Lapithoe, husband of Hippodamia, and friend of Theseus",
209803,L7760969,n,9,"a city of Elis, near which the Olympic games were celebrated",2775
209804,L7351029,n,9,"a very ancient city of Etruria, a colony of Pisa in Elis",2775
209805,L6669439,n,9,"son of Polyctor, and one of Penelope's suitors",
209806,L2563088,n,9,Pisaurian,
209807,L5199570,n,9,a Pisidian,
209809,L2461710,n,9,"Pisistratus, tyrant of Athens",
209810,L6979636,n,9,a Roman cognomen in the gens Calpurnia,2792
209811,L6892562,n,9,"a city in Etruria, where Catiline was defeated and slain, the modern Pistoia",2775
209812,L8934834,n,9,"a city on the Aeolic coast of Asia Minor, now Sandarlik",2775
209813,L5263604,n,9,the name of an attendant,
209815,L2513878,n,9,"king of Troezen, son of Pelops, and father of Aethra, the mother of Theseus",
209816,L4771908,n,9,"a city in Gallia Cispadana, on the Po, the modern Piacenza",2775
209817,L7604579,n,9,"an island in the Tyrrhenian Sea, near Elba, another name for Planasia",2775
209818,L3395803,a,9,"Platoea, a city in Boeotia, celebrated for a victory of the Greeks over the Persians, now Kokla",2775
209820,L9640030,a,9,"of or belonging to Plautus, Plautian",
209821,L7943889,n,9,"a daughter of Oceanus and Tethys, wife of Atlas and mother of the Pleiades",
209822,L7367855,n,9,a town of the Marsi,2775
209823,L7587881,n,9,"a city in Aetolia, now Castle of Irene",2775
209825,L3795364,n,9,an epithet of Apion the grammarian,
209826,L4987544,n,9,a town of Asia,2775
209827,L4383717,n,9,"a famous philosopher of the Eclectic school, who flourished in the third century A",1545
209828,L2459339,n,9,"the king of the Lower World, the husband of Proserpine, and brother of Jupiter and Neptune",
209829,L1140437,n,9,a sect of heretics,
209830,L8087807,n,9,"son of Aesculapius, a celebrated physician",
209831,L4981452,n,9,the father of Philoctetes,
209832,L1636050,n,9,An ancient name of the island of Rhodes,2775
209833,L1888853,n,9,the Phoenicians,
209834,L7458830,n,9,a fortress of Athamania,
209835,L2272301,n,9,"a Grecian philosopher at Athens, a disciple of Xenocrates and teacher of Zeno and Arcesilaus",1545
209836,L6819295,n,9,the name of a music-teacher,
209837,L3078222,n,9,"an epithet of Demetrius, king of Macedonia",
209838,L9930882,n,9,"a town of Latium, the modern La Giostra",2775
209839,L5614095,n,9,the Pollentians,
209840,L3947353,n,9,the name of a slave of Cicero,
209841,L7468573,n,9,a celebrated Greek tragic actor,
209842,L7528979,n,9,a small and very ancient town in Latium,2775
209843,L4100130,n,9,"a mathematician, a friend and follower of Epicurus",
209844,L5596072,n,9,one of the fifty daughters of Danaus,
209846,L9730154,n,9,"a king of Corinth, at whose court Oedipus was brought up",
209847,L6170878,n,9,"a celebrated Grecian sculptor from Argos or Sicyon, contemporary with Pericles",
209848,L7236027,n,9,"a prince of Samos, and friend of Amasis, celebrated for his good fortune, but at last crucified by the Persian governor Oroetes",
209849,L9774601,n,9,wife of the Achoean chief Aratus,
209850,L8921123,n,9,"a descendant of Semiramis, slain by Perseus",
209851,L1068602,n,9,"a Trojan, son of Panthous and friend of Hector",
209852,L6634096,n,9,"a king of Seriphus, who brought up Perseus",
209853,L4900354,n,9,"a son of Priam and Hecuba, killed by the Thracian Polymnestor",
209854,L2801170,n,9,"a celebrated Grecian painter and statuary of Thasus, contemporary with Socrates",
209856,L5181314,n,9,"a king of Thrace, the husband of Ilione, daughter of Priam",
209894,L2220350,n,9,"an island of the Aegean Sea, near Caria",2775
209858,L9115630,n,9,",, a fictitious name of a gens",
209859,L7618254,n,9,"a daughter of Priam, whom Pyrrhus, the son of Achilles, sacrificed at his father's grave",
209860,L2438411,n,9,a prophetess in Lemnos,
209861,L4387591,n,9,"a maritime city in the south of Campania, overwhelmed, together with Herculaneum and Stabioe, by an eruption of Vesuvius",2775
209862,L1419390,n,9,a Roman nomen,2792
209863,L3078616,n,9,a building at Athens,
209864,L5657197,n,9,"the name of a district in Latium, near Pometia",2775
209865,L7819707,n,9,"an island in the Tuscan Sea, now Ponza",2775
209866,L5049922,n,9,"an originally Samnite, afterwards Roman nomen",2792
209867,L1819864,n,9,"the Black Sea, called in full Pontus Euxinus",
209868,L6321852,n,9,"a town on the coast of Etruria, now the ruins of Poplonia, near Piombino",2775
209869,L5123821,n,9,a Roman goddess worshipped by women,1666
209871,L9670990,n,9,"the ferryman, a name given to Charon",
209872,L8009259,n,9,a town of Euboea,2775
209873,L8239125,a,9,"of or belonging to the port of Ostia, Portuensian",
209874,L2927894,n,9,a freedman of the emperor Claudius,2798
209875,L7866988,n,9,the Greek name of Poestum,
209876,L4806940,n,9,"a celebrated Stoic at Rhodes, a disciple of Panoetius and instructor of Cicero",
209877,L1384169,n,9,the secretary of the quoestor Coecilius in Sicily,
209878,L4108138,n,9,Potentian,
209879,L8418489,n,9,"a city of Pallene, afterwards called Cassandrea, the modern Pinaka",2775
209880,L5023154,n,9,a town in Aetolia,2775
209881,L8274876,n,9,"a village in Boeotia, on the Asopus, in whose neighborhood were pastures which made animals mad",
209882,L1220185,n,9,Potulan,
209884,L4664118,a,9,of or belonging to the Praetetii,
209885,L9594186,n,9,a people of Picenum,1696
209886,L7215397,n,9,a township in Attica,2775
209887,L9051230,n,9,an island in the Indus,2775
209888,L6844398,n,9,a tribe on the Ganges,
209889,L2662118,n,9,a people of Media,1696
209890,L3314213,n,9,"a celebrated Greek sculptor, Prop",
209891,L2556463,n,9,"a people of India, beyond the Ganges",1696
209892,L8624196,n,9,"a son of Laomedon, king of Troy, husband of Hecuba, and father of Hector, Helenus, Paris, Deiphobus, Polyxena, Cassandra, etc.",
209893,L9650679,n,9,a Thracian people,
209895,L9345952,n,9,"Priapus, the god of Procreation",1666
209896,L2832545,n,9,"a maritime town of lonia, the birthplace of Bias, the modern Samsoon",2775
209897,L4070415,n,9,"a Roman cognomen, the elder",2792
209898,L7575505,n,9,"a very ancient town of Latium, now ruins near Piperno",2775
209899,L3358445,n,9,"the twinbrother of Eurysthenes, king of the Lacedoemonians",
209900,L9069968,n,9,"an island in the Propontis, abounding in wine and marble, now Marmora",2775
209901,L6179324,n,9,"a daughter of the Athenian king Erechtheus, wife of Cephalus, who shot her in a wood, mistaking her for a wild beast",
209902,L9031189,n,9,a noted highwayman in Attica,
209903,L6384297,n,9,a constellation that rises before the dog-star,
209904,L4036580,n,9,"a Grecian sophist of Ceos, contemporary with Socrates, author of the story of The Choice of Hercules",
209905,L8849185,n,9,"a town of Thessaly, the modern Ghynekokastro",2775
209906,L6135676,n,9,"a king of Tiryns, brother of Acrisius",
209908,L2127752,n,9,"a son of Iapetus and Clymene, brother of Epimetheus, and father of Deucalion",
209909,L9399314,n,9,"Cyprian girls, who, having denied the divinity of Venus, were turned to stone",
209910,L6171579,n,9,"the Propontis or Sea of Marmora, between the Hellespont and the Thracian Bosporus",
209912,L2634783,n,9,a district of the Delta in Egypt,2775
209913,L8667700,n,9,"a celebrated sophist of Abdera, a disciple of Democritus, and an older contemporary of Socrates",
209914,L9262790,n,9,"a son of Iphiclus, a native of Phylace in Thessaly, the husband of Laodamia, and the leader of the Thessalians against Troy, where he was the first man killed",
209915,L6338365,n,9,a sea-god who often changed his form,1666
209916,L2800555,n,9,a hero at the wedding of Perseus,
209917,L6872596,n,9,"a celebrated Grecian painter of Caunus, on the coast of Caria",
210108,L3164652,n,9,"a mountain in Illyria, now Sharradagh or Tchardagh",2775
209942,L8916300,n,9,"an island near Corfu, now Vido",2775
209959,L7262200,n,9,a king of Thrace,
209919,L8926767,n,9,"a town of Bithynia, near Mount Olympus, now Brussa",2775
209920,L6084228,n,9,"a king of Bithynia, who hospitably received Hannibal, but afterwards betrayed him to the Romans",
209921,L5168000,n,9,"a people of Scythia, near the river Imaus",2775
209922,L1791992,n,9,"daughter of Crotopus, king of Argos",
209923,L8971524,n,9,a town and harbor of Laconia,2775
209925,L5601365,n,9,the name of an attendant of Diana,
209926,L5193515,n,9,"a town of Ethiopia, now Dakke",2775
209927,L9535841,n,9,an Asiatic tribe near the Moeotic Lake,
209928,L5599644,n,9,"a sham Cato, Pseudo-Cato",
209929,L7417523,n,9,"falseDamasippus, Pseudo - Damasippus",
209930,L1673544,n,9,"the Liar, the title of a comedy of Plautus",
209931,L9958430,n,9,"the false Philip, Pseudo-Philip",
209932,L2487384,n,9,"the name of two islands in the Arabian Gulf, near Ethiopia",2775
209933,L1462437,n,9,"a small island in the Aegean Sea, near Samos",2775
209934,L6981441,n,9,"a city in Arcadia, west of the chain of Erymanthus, now Tripotamo",2775
209935,L2874060,n,9,"the Bashful Man, the title of a comedy of Menander",
209936,L8275415,a,9,"or a small island in the Saronic Gulf, near Salamis",2775
209938,L7018708,n,9,a district of Lower Egypt,2775
209939,L5043020,n,9,a prince of Taphus,
209940,L5841459,n,9,a country near the Riphoean Mountains,
209941,L1339590,n,9,"Ptolemy, the name of the kings of Egypt after Alexander the Great, Curt",
209943,L6845190,n,9,"a town in Illyria, now Proseck",2775
209944,L7731711,n,9,a Roman cognomen of the Claudii,2792
209945,L4601250,a,9,"id., made in the Punic manner, Punic, Carthaginian",
209946,L7335036,n,9,"for Poenus, Punic, Carthaginian",
209947,L4988430,a,9,Pupinian,
209949,L4670855,n,9,"a city in Macedonia, on the Thermaic Gulf, celebrated for the battle in which Perseus was defeated by Aemilius Paulus",2775
209950,L7259798,n,9,a town and harbor of Ionia,2775
209951,L8518073,n,9,"the Pygmies, a fabulous dwarfish race of antiquity, especially in Africa",
209952,L1250503,a,9,"Grandson of Agenor, who became enamoured of a statue he had made, and to which, at his earnest petition, Venus gave life",
209953,L9388303,n,9,"son of king Strophius, celebrated as the friend of Orestes",
209954,L8810388,n,9,"a mythical king of the Paphlagonians, an ally of Priam",1566
209955,L8821036,n,9,"the name of three cities of the Peloponnesus, of which one was in Arcadia",
209956,L1676555,n,9,a Centaur who was present at the marriage of Pirithous,
209957,L6407310,n,9,an ancient town of Latium,2775
209958,L3880431,n,9,"the lover of Thisbe, who, on account of her supposed death, stabbed himself under a mulberry-tree",
209960,L1621718,n,9,a colony in Etruria,
209961,L9316531,n,9,a sculptor of the time of Alexander the Great,
209962,L6504720,n,9,a castle in Elis,
209963,L7490443,n,9,"a river in the Infernal Regions, usually called Phlegethon",2775
209964,L4339648,n,9,the discoverer of the art of kindling fire,
209965,L5416609,n,9,"the sky god of Areios, the planet Mars",1666
209966,L8959101,n,9,"daughter of Epimetheus, and wife of Deucalion",
209967,L7168670,n,9,a place in Ambracia,2775
209969,L8696493,n,9,"a philosopher of Elis, contemporary with Aristotle, and founder of the sceptical school",1545
209970,L6683658,n,9,"son of Achilles and Deïdamia, founder of a kingdom in Epirus, slain at Delphi by Orestes",
209971,L3820365,n,9,"a celebrated philosopher of Samos, about 550 B.C.",1545
209972,L3722426,n,9,an archon at Athens,
209973,L9541530,n,9,"a geographer, a native of Marseilles, contemporary with Ptolemy Philadelphus",
209974,L1397005,n,9,"a familiar spirit, the demon possessing a soothsayer",
209976,L1867128,n,9,a Roman female name,
209977,L7202429,n,9,a fortified town in Gallia Belgica,2775
209978,L6529750,n,9,"an appellation of a part of the Tarbelli, a tribe of Gauls",
209979,L3450302,n,9,"the fifth month, afterwards, in honor of Julius Caesar, called July",
209980,L3191476,n,9,"Quin-tilia, ae, f., a Roman nomen",2792
210000,L9944548,n,9,"Rhene, an island in the Aegean Sea, one of the Cyclades",2775
209984,L6949311,n,9,"a Bessic prince, put to death by L",
209985,L1167977,n,9,"the Raetians, a mountain people north of the Po, between the Danube, the Rhine, and the Lech",2775
209986,L3767230,n,9,a Roman cognomen in the Marcian gens,2792
209987,L9084650,n,9,an island north of Germany,2775
209989,L5179706,a,9,"of or belonging to Reate, Reatine",
