,00229978,a,10,"changed for the worse in health or fitness: ""I feel worse today""; ""her cold is worse""",
183264,00305565,a,10,"providing specific details or circumstances: ""a particular description of the room""",1502
183266,00305857,a,10,"marked by care and effort: ""made a studious attempt to fix the television set""",1502
183265,00305708,a,10,"(usually followed by ""of"") solicitously caring or mindful; ""protective of his reputation""",1502
183235,00300123,a,10,"violently agitated and turbulent: ""boisterous winds and waves""; ""the fierce thunders roar me their music""-Ezra Pound; ""rough weather""; ""rough seas""",2126
183270,00306950,a,10,"marked by great carelessness: ""a most haphazard system of record keeping""; ""slapdash work""; ""slipshod spelling""; ""sloppy workmanship""",1502
183272,00307420,a,10,"without out proper caution: ""an incautious step sent her headlong down the stairs""",1502
183274,00307722,a,10,"casually thoughtless or inconsiderate: ""an offhand manner""; ""she treated most men with offhand contempt""",1502
183280,00308683,a,10,"feeding on flowers: ""some insects are anthophagous""",2158
183246,00301854,a,10,"having inner resources; adroit or imaginative: ""someone who is resourceful is capable of dealing with difficult situations""; ""an able and resourceful politician""; ""the most resourceful cook in town""",2234
183229,00298883,a,10,"not changeable: ""a period of settled weather""",2126
125533,03601056,n,10,"weaponry used in fighting or hunting: ""he was licensed to carry a weapon""",2478
183289,00309693,a,10,feeding on ants but usually not living with them,2158
183290,00309802,a,10,obtaining nourishment as animals do by ingesting complex organic matter,
183291,00309928,a,10,obtaining nourishment as green plants do,
183292,00310025,a,10,(botany) bearing or consisting of carpels,2172
183293,00310136,a,10,(botany) having no carpels,2172
183296,00310531,a,10,(of ships) built with flush (rather than overlapping) hull planks,1942
183297,00310673,a,10,laid edge-to-edge (not overlapping),1942
183298,00310767,a,10,(of ships) built with overlapping hull planks,1942
183299,00310907,a,10,laid overlapping (not flush),1942
183305,00311853,a,10,not carved,
183308,00312269,a,10,(verse) having an extra syllable or syllables at the end of a metrically complete verse or in a metrical foot,2657
183315,00313456,a,10,(zoology) having a tail or taillike appendage,2188
183317,00313770,a,10,resembling a tail,2188
183318,00313851,a,10,having a tail,2188
183302,00311513,a,10,"cut into a desired shape: ""graven images""; ""sculptured representations""",
183303,00311661,a,10,"inscribed on stone: ""a lapidarian record""",
183311,00312864,a,10,"suppressed or subject to censorship: ""the censored press in some countries""",
183304,00311759,a,10,used of meat; cut into pieces for serving,
183306,00311918,a,10,(verse) metrically complete; especially having the full number of syllables in the final metrical foot,2657
183309,00312458,a,10,"(botany) especially of leaves; growing on a stem especially on the upper part of a stem; ""cauline leaves""",2172
183313,00313184,a,10,"not subject to censorship: ""uncensored news reports""",
183316,00313656,a,10,"having a short or shortened tail: ""bobtail mare""",2188
183330,00315479,a,10,"involving or constituting a cause; causing: ""a causal relationship between scarcity and higher prices""",
183322,00314311,a,10,"not having a tail: ""anurous toads and frogs""",2188
183319,00313917,a,10,"(of birds) having a deeply forked tail; ""scissor-tailed birds""",2188
183328,00315200,a,10,"causing loss of appetite: ""an anorectic (or anorexigenic) drug""",
183355,00319977,a,10,"divided up or separated into compartments or isolated units: ""a compartmented box""; ""the protected and compartmented society of Beacon Hill""-John Mason Brown",
183342,00317628,a,10,"using cautious slow strategy to wear down opposition; avoiding direct confrontation: ""a fabian policy""",
183335,00316393,a,10,"causing or able to cause motion: ""a motive force""; ""motive power""; ""motor energy""",
183336,00316538,a,10,"bringing on suddenly or abruptly: ""the completion of the railroad was the precipitating cause in the extinction of water-borne commerce""",
183338,00316928,a,10,"causing sneezing: ""pepper is a sternutatory substance""",
183340,00317140,a,10,"showing careful forethought: ""reserved and cautious; never making swift decisions""; ""a cautious driver""",
183344,00318001,a,10,"prudent: ""guarded optimism""",
183314,00313311,a,10,"not having material deleted: ""volumes of the best plays, unexpurgated""-Havelock Ellis",
183320,00314040,a,10,(especially of butterflies and birds) having a forked tail like that of a swallow,2188
183346,00318235,a,10,"lacking in caution: ""an incautious remark""; ""incautious talk""",
183352,00319611,a,10,"consisting of many cells: ""multicellular organisms""",
183354,00319846,a,10,"lacking cells: ""cell-free systems""; ""a cell-free homogenate of the thyroid""",
183356,00320213,a,10,"divided up into compartments or categories: ""most sciences have become woefully compartmentalized""",
183295,00310436,a,10,"not carpeted: ""bare uncarpeted floors""",
183345,00318095,a,10,"unnecessarily cautious: ""sometimes it doesn't pay to be overcautious in business""",
183333,00316015,a,10,"inducing or influencing; leading on: ""inductive to the sin of Eve""-John Milton",
183321,00314182,a,10,(zoology) lacking a tail or taillike appendage,2188
183323,00314420,a,10,(botany) producing a well-developed stem above ground,2172
183324,00314550,a,10,(botany) having no apparent stem above ground,2172
183326,00315015,a,10,causing abortion,
183327,00315091,a,10,causing motion or action or change,
183332,00315938,a,10,causing nasal discharge,
183339,00317056,a,10,not causative,
183349,00319249,a,10,(anatomy) having an open or latticed or porous structure,2233
183350,00319389,a,10,pitted with cell-like cavities (as a honeycomb),
183351,00319538,a,10,resembling a cell,
183353,00319722,a,10,not made up of or divided into cells,
183301,00311342,a,10,"cut or impressed into a surface: ""an incised design""; ""engraved invitations""",
183358,00320519,a,10,full of pores or vessels or holes,
183361,00320882,a,10,(of a cartridge) fired by striking the center of the base,1781
211365,L5096071,n,10,"an adherent of Peripatetic philosophy, a Peripatetic",2945
211368,L7108415,n,9,the legal right to vote,1725
211369,L1611264,n,9,a medicine made of myrrh,2966
183362,00321015,a,10,(of a cartridge) fired by striking the center of the base,1781
183363,00321131,a,10,(of a cartridge) fired by striking the rim of the base,1781
183364,00321239,a,10,of a temperature scale that registers the freezing point of water as 0 degrees C and the boiling point as 100 degrees C under normal atmospheric pressure,
183365,00321463,a,10,of a temperature scale that registers the freezing point of water as 32 degrees F and the boiling point as 212 degrees F at one atmosphere of pressure,
183367,00322020,a,10,located in the middle part of a ship or aircraft,
183368,00322123,a,10,having two centers,
183370,00322297,a,10,equally distant from the extremes,
183371,00322417,a,10,being or placed in the center,
183372,00322501,a,10,having or situated at or near a center,
183374,00322731,a,10,relating to or situated in or extending toward the middle,
183375,00322850,a,10,being in the exact middle,
183383,00324104,a,10,"(botany) away from an axis, as in a flower cluster in which the oldest flowers are in the center, the youngest near the edge",2172
183384,00324293,a,10,"moving or directed away from center, especially when spinning or traveling in a curve",
183387,00324757,a,10,"moving or directed toward the center or axis, especially when spinning or traveling in a curve",
183369,00322197,a,10,"(optics) having two foci; ""bifocal eyeglasses""",2102
183379,00323519,a,10,"at or constituting a border or edge: ""the marginal strip of beach""",
183382,00323955,a,10,"tending to move away from a center: ""centrifugal force""",
183385,00324439,a,10,"tending to move toward a center: ""centripetal force""",
183366,00321681,a,10,"in or near a center or constituting a center: ""a central position"" ""central heating and air conditioning""",
183392,00325728,a,10,"conveying information to the muscles from the CNS: ""motor nerves""",2234
183393,00325862,a,10,"of a nerve fiber passing outward from the cerebral cortex: ""corticofugal discharges""",2234
183388,00324911,a,10,"(physiology) of nerves and nerve impulses; conveying sensory information from the sense organs to the CNS; ""afferent nerves""; ""afferent impulses""",2234
183391,00325505,a,10,"(physiology) of nerves and nerve impulses; conveying information away from the CNS; ""efferent nerves and impulses""",2234
183394,00326038,a,10,"relating to a nerve fiber or impulse passing toward motor effectors: ""neuromotor impulses""",2234
183403,00327377,a,10,"impossible to doubt or dispute: ""indisputable (or sure) proof""",2234
183404,00327505,a,10,"absolutely certain: ""it is sure as shooting that they will come""",2234
183409,00328581,a,10,"persuaded of; very sure: ""were convinced that it would be to their advantage to join""; ""I am positive he is lying""; ""was confident he would win""",1502
183406,00328009,a,10,"not decided or not known: ""were indefinite about their plans""; ""plans are indefinite""",2234
183407,00328151,a,10,"very uncertain: ""left everything up in the air""",2234
183411,00329232,a,10,"uncertain or unable to decide about what course to follow: ""was ambivalent about having children""",1502
183413,00329612,a,10,"acting with uncertainty or hesitance or lack of confidence: ""a groping effort to understand""",1502
183418,00330451,a,10,"marked by assurance; exhibiting confidence: ""she paints with an assured hand""",1502
183414,00329769,a,10,"having a strong belief or conviction: ""a convinced and fanatical pacifist""",
183415,00329899,a,10,"lacking conviction: ""I remain unconvinced""",
183416,00330017,a,10,"not convinced: ""they admitted the force of my argument but remained dubious""",
183421,00330980,a,10,"showing poise and confidence in your own worth: ""hardly more than a boy but firm-knit and self-confident""",1502
183401,00326921,a,10,"established beyond doubt or question; definitely known: ""what is certain is that every effect must have a cause""; ""it is certain that they were on the bus""; ""his fate is certain""; ""the date for the invasion is certain""",2234
183420,00330837,a,10,"having confidence restored; freed from anxiety: ""reassured by her praise he pressed on""",1502
